"Country","Item","Price"
"Afghanistan","Meal, Inexpensive Restaurant "," 2.13 $"
"Afghanistan","Meal for 2 People, Mid-range Restaurant, Three-course "," 9.25 $"
"Afghanistan","McMeal at McDonalds (or Equivalent Combo Meal) "," 3.54 $"
"Afghanistan","Domestic Non-Alcoholic Beer (0.5 liter draught) "," 2.84 $"
"Afghanistan","Imported Non-Alcoholic Beer (0.33 liter bottle) "," 7.09 $"
"Afghanistan","Cappuccino (regular) "," 0.89 $"
"Afghanistan","Coke/Pepsi (0.33 liter bottle) "," 0.39 $"
"Afghanistan","Water (0.33 liter bottle)  "," 0.15 $"
"Afghanistan","Milk (regular), (1 liter) "," 0.73 $"
"Afghanistan","Loaf of Fresh White Bread (500g) "," 0.24 $"
"Afghanistan","Rice (white), (1kg) "," 1.65 $"
"Afghanistan","Eggs (regular) (12) "," 1.55 $"
"Afghanistan","Local Cheese (1kg) "," 3.65 $"
"Afghanistan","Chicken Fillets (1kg) "," 3.31 $"
"Afghanistan","Beef Round (1kg) (or Equivalent Back Leg Red Meat) "," 5.59 $"
"Afghanistan","Apples (1kg) "," 0.62 $"
"Afghanistan","Banana (1kg) "," 0.80 $"
"Afghanistan","Oranges (1kg) "," 0.72 $"
"Afghanistan","Tomato (1kg) "," 0.48 $"
"Afghanistan","Potato (1kg) "," 0.45 $"
"Afghanistan","Onion (1kg) "," 0.38 $"
"Afghanistan","Lettuce (1 head) "," 0.30 $"
"Afghanistan","Water (1.5 liter bottle) "," 0.31 $"
"Afghanistan","Bottle of Non-Alcoholic Wine (Mid-Range) "," 1.70 $"
"Afghanistan","Domestic Non-Alcoholic Beer (0.5 liter bottle) "," 0.71 $"
"Afghanistan","Imported Non-Alcoholic Beer (0.33 liter bottle) "," 1.45 $"
"Afghanistan","Cigarettes 20 Pack (Marlboro) "," 2.41 $"
"Afghanistan","One-way Ticket (Local Transport) "," 0.28 $"
"Afghanistan","Monthly Pass (Regular Price) "," 12.05 $"
"Afghanistan","Taxi Start (Normal Tariff) "," 1.42 $"
"Afghanistan","Taxi 1km (Normal Tariff) "," 0.71 $"
"Afghanistan","Taxi 1hour Waiting (Normal Tariff) "," 1.70 $"
"Afghanistan","Gasoline (1 liter) "," 0.99 $"
"Afghanistan","Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) "," 8,505.02 $"
"Afghanistan","Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) "," 39,690.08 $"
"Afghanistan","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment "," 88.72 $"
"Afghanistan","Mobile Phone Monthly Plan with Calls and 10GB+ Data "," 14.37 $"
"Afghanistan","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) "," 117.83 $"
"Afghanistan","Fitness Club, Monthly Fee for 1 Adult "," 9.79 $"
"Afghanistan","Tennis Court Rent (1 Hour on Weekend) "," 3.54 $"
"Afghanistan","Cinema, International Release, 1 Seat "," 2.41 $"
"Afghanistan","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child "," 23.09 $"
"Afghanistan","International Primary School, Yearly for 1 Child "," 1,417.50 $"
"Afghanistan","1 Pair of Jeans (Levis 501 Or Similar) "," 13.82 $"
"Afghanistan","1 Summer Dress in a Chain Store (Zara, H&M, ...) "," 17.19 $"
"Afghanistan","1 Pair of Nike Running Shoes (Mid-Range) "," 31.39 $"
"Afghanistan","1 Pair of Men Leather Business Shoes "," 26.31 $"
"Afghanistan","Apartment (1 bedroom) in City Centre "," 80.62 $"
"Afghanistan","Apartment (1 bedroom) Outside of Centre "," 51.38 $"
"Afghanistan","Apartment (3 bedrooms) in City Centre "," 182.50 $"
"Afghanistan","Apartment (3 bedrooms) Outside of Centre "," 100.11 $"
"Afghanistan","Price per Square Meter to Buy Apartment in City Centre "," 449.50 $"
"Afghanistan","Price per Square Meter to Buy Apartment Outside of Centre "," 203.32 $"
"Afghanistan","Average Monthly Net Salary (After Tax) "," 201.50 $"
"Afghanistan","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate "," 16.22"
"Aland Islands","Meal, Inexpensive Restaurant "," 14.20 $"
"Aland Islands","Meal for 2 People, Mid-range Restaurant, Three-course "," 65.53 $"
"Aland Islands","McMeal at McDonalds (or Equivalent Combo Meal) "," 11.47 $"
"Aland Islands","Domestic Beer (0.5 liter draught) "," 7.65 $"
"Aland Islands","Imported Beer (0.33 liter bottle) "," 6.55 $"
"Aland Islands","Cappuccino (regular) "," 3.39 $"
"Aland Islands","Coke/Pepsi (0.33 liter bottle) "," 2.51 $"
"Aland Islands","Water (0.33 liter bottle)  "," 1.86 $"
"Aland Islands","Milk (regular), (1 liter) "," 1.17 $"
"Aland Islands","Loaf of Fresh White Bread (500g) "," 2.62 $"
"Aland Islands","Rice (white), (1kg) "," 2.18 $"
"Aland Islands","Eggs (regular) (12) "," 2.88 $"
"Aland Islands","Local Cheese (1kg) "," 11.74 $"
"Aland Islands","Chicken Fillets (1kg) "," 9.55 $"
"Aland Islands","Beef Round (1kg) (or Equivalent Back Leg Red Meat) "," 15.02 $"
"Aland Islands","Apples (1kg) "," 2.74 $"
"Aland Islands","Banana (1kg) "," 1.72 $"
"Aland Islands","Oranges (1kg) "," 2.50 $"
"Aland Islands","Tomato (1kg) "," 4.37 $"
"Aland Islands","Potato (1kg) "," 1.25 $"
"Aland Islands","Onion (1kg) "," 1.23 $"
"Aland Islands","Lettuce (1 head) "," 2.21 $"
"Aland Islands","Water (1.5 liter bottle) "," 1.74 $"
"Aland Islands","Bottle of Wine (Mid-Range) "," 12.56 $"
"Aland Islands","Domestic Beer (0.5 liter bottle) "," 3.50 $"
"Aland Islands","Imported Beer (0.33 liter bottle) "," 3.19 $"
"Aland Islands","Cigarettes 20 Pack (Marlboro) "," 9.60 $"
"Aland Islands","One-way Ticket (Local Transport) "," 2.73 $"
"Aland Islands","Monthly Pass (Regular Price) "," 54.61 $"
"Aland Islands","Taxi Start (Normal Tariff) "," 7.65 $"
"Aland Islands","Taxi 1km (Normal Tariff) "," 1.09 $"
"Aland Islands","Taxi 1hour Waiting (Normal Tariff) "," 21.84 $"
"Aland Islands","Gasoline (1 liter) "," 2.20 $"
"Aland Islands","Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) "," 25,667.63 $"
"Aland Islands","Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) "," 24,393.35 $"
"Aland Islands","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment "," 200.24 $"
"Aland Islands","Mobile Phone Monthly Plan with Calls and 10GB+ Data "," 30.58 $"
"Aland Islands","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) "," 40.41 $"
"Aland Islands","Fitness Club, Monthly Fee for 1 Adult "," 41.26 $"
"Aland Islands","Tennis Court Rent (1 Hour on Weekend) "," 21.84 $"
"Aland Islands","Cinema, International Release, 1 Seat "," 15.29 $"
"Aland Islands","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child "," 152.91 $"
"Aland Islands","International Primary School, Yearly for 1 Child "," 0.00 $"
"Aland Islands","1 Pair of Jeans (Levis 501 Or Similar) "," 76.46 $"
"Aland Islands","1 Summer Dress in a Chain Store (Zara, H&M, ...) "," 30.95 $"
"Aland Islands","1 Pair of Nike Running Shoes (Mid-Range) "," 91.02 $"
"Aland Islands","1 Pair of Men Leather Business Shoes "," 87.38 $"
"Aland Islands","Apartment (1 bedroom) in City Centre "," 633.50 $"
"Aland Islands","Apartment (1 bedroom) Outside of Centre "," 499.70 $"
"Aland Islands","Apartment (3 bedrooms) in City Centre "," 1,092.24 $"
"Aland Islands","Apartment (3 bedrooms) Outside of Centre "," 805.53 $"
"Aland Islands","Price per Square Meter to Buy Apartment in City Centre "," 2,839.82 $"
"Aland Islands","Price per Square Meter to Buy Apartment Outside of Centre "," 2,402.93 $"
"Aland Islands","Average Monthly Net Salary (After Tax) "," 2,457.54 $"
"Aland Islands","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate "," 3.90"
"Albania","Meal, Inexpensive Restaurant "," 10.96 $"
"Albania","Meal for 2 People, Mid-range Restaurant, Three-course "," 49.34 $"
"Albania","McMeal at McDonalds (or Equivalent Combo Meal) "," 8.66 $"
"Albania","Domestic Beer (0.5 liter draught) "," 2.63 $"
"Albania","Imported Beer (0.33 liter bottle) "," 3.29 $"
"Albania","Cappuccino (regular) "," 1.78 $"
"Albania","Coke/Pepsi (0.33 liter bottle) "," 1.66 $"
"Albania","Water (0.33 liter bottle)  "," 0.83 $"
"Albania","Milk (regular), (1 liter) "," 1.95 $"
"Albania","Loaf of Fresh White Bread (500g) "," 0.96 $"
"Albania","Rice (white), (1kg) "," 2.03 $"
"Albania","Eggs (regular) (12) "," 3.33 $"
"Albania","Local Cheese (1kg) "," 11.59 $"
"Albania","Chicken Fillets (1kg) "," 7.14 $"
"Albania","Beef Round (1kg) (or Equivalent Back Leg Red Meat) "," 14.06 $"
"Albania","Apples (1kg) "," 1.40 $"
"Albania","Banana (1kg) "," 2.35 $"
"Albania","Oranges (1kg) "," 1.62 $"
"Albania","Tomato (1kg) "," 1.58 $"
"Albania","Potato (1kg) "," 1.10 $"
"Albania","Onion (1kg) "," 1.10 $"
"Albania","Lettuce (1 head) "," 1.32 $"
"Albania","Water (1.5 liter bottle) "," 0.66 $"
"Albania","Bottle of Wine (Mid-Range) "," 9.59 $"
